,FECHA_SINTOMAS,positivo
0,2020-03-02,1
1,2020-03-05,2
2,2020-03-08,3
3,2020-03-09,4
4,2020-03-10,3
5,2020-03-12,3
6,2020-03-13,1
7,2020-03-14,4
8,2020-03-15,5
9,2020-03-16,9
10,2020-03-17,3
11,2020-03-18,7
12,2020-03-19,3
13,2020-03-20,10
14,2020-03-21,9
15,2020-03-22,9
16,2020-03-23,17
17,2020-03-24,9
18,2020-03-25,8
19,2020-03-26,10
20,2020-03-27,18
21,2020-03-28,22
22,2020-03-29,20
23,2020-03-30,22
24,2020-03-31,11
25,2020-04-01,16
26,2020-04-02,34
27,2020-04-03,18
28,2020-04-04,30
29,2020-04-05,18
30,2020-04-06,30
31,2020-04-07,19
32,2020-04-08,26
33,2020-04-09,15
34,2020-04-10,35
35,2020-04-11,35
36,2020-04-12,28
37,2020-04-13,53
38,2020-04-14,36
39,2020-04-15,41
40,2020-04-16,45
41,2020-04-17,52
42,2020-04-18,60
43,2020-04-19,49
44,2020-04-20,63
45,2020-04-21,57
46,2020-04-22,47
47,2020-04-23,49
48,2020-04-24,63
49,2020-04-25,62
50,2020-04-26,53
51,2020-04-27,78
52,2020-04-28,52
53,2020-04-29,64
54,2020-04-30,65
55,2020-05-01,103
56,2020-05-02,64
57,2020-05-03,57
58,2020-05-04,85
59,2020-05-05,90
60,2020-05-06,93
61,2020-05-07,96
62,2020-05-08,118
63,2020-05-09,101
64,2020-05-10,130
65,2020-05-11,138
66,2020-05-12,130
67,2020-05-13,132
68,2020-05-14,127
69,2020-05-15,157
70,2020-05-16,98
71,2020-05-17,128
72,2020-05-18,182
73,2020-05-19,163
74,2020-05-20,197
75,2020-05-21,138
76,2020-05-22,170
77,2020-05-23,160
78,2020-05-24,134
79,2020-05-25,210
80,2020-05-26,152
81,2020-05-27,163
82,2020-05-28,196
83,2020-05-29,168
84,2020-05-30,179
85,2020-05-31,161
86,2020-06-01,348
87,2020-06-02,194
88,2020-06-03,208
89,2020-06-04,201
90,2020-06-05,271
91,2020-06-06,249
92,2020-06-07,199
93,2020-06-08,275
94,2020-06-09,261
95,2020-06-10,417
96,2020-06-11,274
97,2020-06-12,292
98,2020-06-13,277
99,2020-06-14,270
100,2020-06-15,464
101,2020-06-16,343
102,2020-06-17,280
103,2020-06-18,365
104,2020-06-19,380
105,2020-06-20,435
106,2020-06-21,228
107,2020-06-22,340
108,2020-06-23,265
109,2020-06-24,254
110,2020-06-25,330
111,2020-06-26,320
112,2020-06-27,234
113,2020-06-28,288
114,2020-06-29,293
115,2020-06-30,275
116,2020-07-01,424
117,2020-07-02,267
118,2020-07-03,240
119,2020-07-04,258
120,2020-07-05,353
121,2020-07-06,322
122,2020-07-07,290
123,2020-07-08,263
124,2020-07-09,293
125,2020-07-10,443
126,2020-07-11,289
127,2020-07-12,279
128,2020-07-13,337
129,2020-07-14,276
130,2020-07-15,372
131,2020-07-16,286
132,2020-07-17,356
133,2020-07-18,341
134,2020-07-19,256
135,2020-07-20,447
136,2020-07-21,252
137,2020-07-22,251
138,2020-07-23,278
139,2020-07-24,265
140,2020-07-25,347
141,2020-07-26,249
142,2020-07-27,310
143,2020-07-28,245
144,2020-07-29,197
145,2020-07-30,213
146,2020-07-31,216
147,2020-08-01,342
148,2020-08-02,197
149,2020-08-03,260
150,2020-08-04,222
151,2020-08-05,235
152,2020-08-06,202
153,2020-08-07,218
154,2020-08-08,202
155,2020-08-09,148
156,2020-08-10,299
157,2020-08-11,175
158,2020-08-12,187
159,2020-08-13,155
160,2020-08-14,162
161,2020-08-15,188
162,2020-08-16,144
163,2020-08-17,230
164,2020-08-18,201
165,2020-08-19,154
166,2020-08-20,273
167,2020-08-21,139
168,2020-08-22,155
169,2020-08-23,137
170,2020-08-24,168
171,2020-08-25,179
172,2020-08-26,154
173,2020-08-27,162
174,2020-08-28,195
175,2020-08-29,128
176,2020-08-30,126
177,2020-08-31,130
178,2020-09-01,229
179,2020-09-02,126
180,2020-09-03,133
181,2020-09-04,129
182,2020-09-05,147
183,2020-09-06,110
184,2020-09-07,141
185,2020-09-08,155
186,2020-09-09,139
187,2020-09-10,156
188,2020-09-11,122
189,2020-09-12,88
190,2020-09-13,115
191,2020-09-14,127
192,2020-09-15,144
193,2020-09-16,94
194,2020-09-17,114
195,2020-09-18,160
196,2020-09-19,113
197,2020-09-20,169
198,2020-09-21,155
199,2020-09-22,99
200,2020-09-23,84
201,2020-09-24,101
202,2020-09-25,135
203,2020-09-26,104
204,2020-09-27,84
205,2020-09-28,130
206,2020-09-29,97
207,2020-09-30,90
208,2020-10-01,158
209,2020-10-02,129
210,2020-10-03,107
211,2020-10-04,86
212,2020-10-05,155
213,2020-10-06,124
214,2020-10-07,129
215,2020-10-08,133
216,2020-10-09,133
217,2020-10-10,168
218,2020-10-11,108
219,2020-10-12,144
220,2020-10-13,150
221,2020-10-14,111
222,2020-10-15,193
223,2020-10-16,149
224,2020-10-17,126
225,2020-10-18,124
226,2020-10-19,144
227,2020-10-20,208
228,2020-10-21,128
229,2020-10-22,140
230,2020-10-23,119
231,2020-10-24,131
232,2020-10-25,139
233,2020-10-26,163
234,2020-10-27,168
235,2020-10-28,155
236,2020-10-29,131
237,2020-10-30,139
238,2020-10-31,77
239,2020-11-01,196
240,2020-11-02,187
241,2020-11-03,157
242,2020-11-04,137
243,2020-11-05,153
244,2020-11-06,143
245,2020-11-07,166
246,2020-11-08,161
247,2020-11-09,172
248,2020-11-10,257
249,2020-11-11,142
250,2020-11-12,133
251,2020-11-13,165
252,2020-11-14,136
253,2020-11-15,197
254,2020-11-16,170
255,2020-11-17,187
256,2020-11-18,187
257,2020-11-19,200
258,2020-11-20,249
259,2020-11-21,159
260,2020-11-22,171
261,2020-11-23,223
262,2020-11-24,191
263,2020-11-25,275
264,2020-11-26,212
265,2020-11-27,218
266,2020-11-28,234
267,2020-11-29,184
268,2020-11-30,331
269,2020-12-01,380
270,2020-12-02,298
271,2020-12-03,221
272,2020-12-04,258
273,2020-12-05,248
274,2020-12-06,206
275,2020-12-07,302
276,2020-12-08,308
277,2020-12-09,303
278,2020-12-10,346
279,2020-12-11,300
280,2020-12-12,302
281,2020-12-13,254
282,2020-12-14,402
283,2020-12-15,400
284,2020-12-16,288
285,2020-12-17,308
286,2020-12-18,350
287,2020-12-19,358
288,2020-12-20,394
289,2020-12-21,346
290,2020-12-22,320
291,2020-12-23,327
292,2020-12-24,406
293,2020-12-25,391
294,2020-12-26,368
295,2020-12-27,374
296,2020-12-28,510
297,2020-12-29,338
298,2020-12-30,399
299,2020-12-31,528
300,2021-01-01,590
301,2021-01-02,523
302,2021-01-03,503
303,2021-01-04,663
304,2021-01-05,657
305,2021-01-06,622
306,2021-01-07,536
307,2021-01-08,621
308,2021-01-09,544
309,2021-01-10,643
310,2021-01-11,650
311,2021-01-12,562
312,2021-01-13,508
313,2021-01-14,554
314,2021-01-15,661
315,2021-01-16,521
316,2021-01-17,422
317,2021-01-18,593
318,2021-01-19,458
319,2021-01-20,614
320,2021-01-21,438
321,2021-01-22,466
322,2021-01-23,472
323,2021-01-24,369
324,2021-01-25,503
325,2021-01-26,391
326,2021-01-27,386
327,2021-01-28,352
328,2021-01-29,334
329,2021-01-30,340
330,2021-01-31,293
331,2021-02-01,562
332,2021-02-02,363
333,2021-02-03,332
334,2021-02-04,347
335,2021-02-05,318
336,2021-02-06,250
337,2021-02-07,258
338,2021-02-08,343
339,2021-02-09,311
340,2021-02-10,320
341,2021-02-11,253
342,2021-02-12,271
343,2021-02-13,270
344,2021-02-14,210
345,2021-02-15,330
346,2021-02-16,281
347,2021-02-17,281
348,2021-02-18,268
349,2021-02-19,270
350,2021-02-20,334
351,2021-02-21,227
352,2021-02-22,310
353,2021-02-23,256
354,2021-02-24,228
355,2021-02-25,287
356,2021-02-26,267
357,2021-02-27,242
358,2021-02-28,304
359,2021-03-01,379
360,2021-03-02,224
361,2021-03-03,260
362,2021-03-04,211
363,2021-03-05,220
364,2021-03-06,211
365,2021-03-07,176
366,2021-03-08,236
367,2021-03-09,200
368,2021-03-10,237
369,2021-03-11,192
370,2021-03-12,171
371,2021-03-13,172
372,2021-03-14,178
373,2021-03-15,219
374,2021-03-16,224
375,2021-03-17,199
376,2021-03-18,215
377,2021-03-19,199
378,2021-03-20,238
379,2021-03-21,174
380,2021-03-22,194
381,2021-03-23,154
382,2021-03-24,188
383,2021-03-25,154
384,2021-03-26,147
385,2021-03-27,169
386,2021-03-28,139
387,2021-03-29,156
388,2021-03-30,133
389,2021-03-31,127
390,2021-04-01,183
391,2021-04-02,129
392,2021-04-03,143
393,2021-04-04,147
394,2021-04-05,176
395,2021-04-06,134
396,2021-04-07,153
397,2021-04-08,132
398,2021-04-09,131
399,2021-04-10,163
400,2021-04-11,129
401,2021-04-12,141
402,2021-04-13,117
403,2021-04-14,123
404,2021-04-15,123
405,2021-04-16,109
406,2021-04-17,124
407,2021-04-18,108
408,2021-04-19,101
409,2021-04-20,100
410,2021-04-21,95
411,2021-04-22,83
412,2021-04-23,97
413,2021-04-24,90
414,2021-04-25,98
415,2021-04-26,93
416,2021-04-27,80
417,2021-04-28,106
418,2021-04-29,67
419,2021-04-30,71
420,2021-05-01,102
421,2021-05-02,72
422,2021-05-03,60
423,2021-05-04,51
424,2021-05-05,66
425,2021-05-06,58
426,2021-05-07,49
427,2021-05-08,67
428,2021-05-09,44
429,2021-05-10,68
430,2021-05-11,41
431,2021-05-12,72
432,2021-05-13,57
433,2021-05-14,42
434,2021-05-15,67
435,2021-05-16,53
436,2021-05-17,60
437,2021-05-18,38
438,2021-05-19,51
439,2021-05-20,58
440,2021-05-21,32
441,2021-05-22,37
442,2021-05-23,38
443,2021-05-24,56
444,2021-05-25,51
445,2021-05-26,49
446,2021-05-27,42
447,2021-05-28,40
448,2021-05-29,23
449,2021-05-30,38
450,2021-05-31,44
451,2021-06-01,58
452,2021-06-02,42
453,2021-06-03,29
454,2021-06-04,43
455,2021-06-05,37
456,2021-06-06,45
457,2021-06-07,58
458,2021-06-08,49
459,2021-06-09,38
460,2021-06-10,43
461,2021-06-11,55
462,2021-06-12,43
463,2021-06-13,31
464,2021-06-14,49
465,2021-06-15,50
466,2021-06-16,46
467,2021-06-17,45
468,2021-06-18,52
469,2021-06-19,54
470,2021-06-20,80
471,2021-06-21,67
472,2021-06-22,74
473,2021-06-23,61
474,2021-06-24,65
475,2021-06-25,74
476,2021-06-26,76
477,2021-06-27,76
478,2021-06-28,89
479,2021-06-29,83
480,2021-06-30,98
481,2021-07-01,114
482,2021-07-02,103
483,2021-07-03,117
484,2021-07-04,108
485,2021-07-05,174
486,2021-07-06,147
487,2021-07-07,176
488,2021-07-08,173
489,2021-07-09,158
490,2021-07-10,239
491,2021-07-11,172
492,2021-07-12,210
493,2021-07-13,201
494,2021-07-14,212
495,2021-07-15,254
496,2021-07-16,251
497,2021-07-17,267
498,2021-07-18,300
499,2021-07-19,405
500,2021-07-20,398
501,2021-07-21,371
502,2021-07-22,331
503,2021-07-23,349
504,2021-07-24,393
505,2021-07-25,458
506,2021-07-26,541
507,2021-07-27,477
508,2021-07-28,453
509,2021-07-29,424
510,2021-07-30,540
511,2021-07-31,430
512,2021-08-01,648
513,2021-08-02,657
514,2021-08-03,585
515,2021-08-04,606
516,2021-08-05,616
517,2021-08-06,599
518,2021-08-07,608
519,2021-08-08,679
520,2021-08-09,715
521,2021-08-10,814
522,2021-08-11,664
523,2021-08-12,637
524,2021-08-13,656
525,2021-08-14,631
526,2021-08-15,700
527,2021-08-16,796
528,2021-08-17,623
529,2021-08-18,623
530,2021-08-19,525
531,2021-08-20,715
532,2021-08-21,527
533,2021-08-22,489
534,2021-08-23,633
535,2021-08-24,490
536,2021-08-25,508
537,2021-08-26,479
538,2021-08-27,459
539,2021-08-28,520
540,2021-08-29,494
541,2021-08-30,561
542,2021-08-31,482
543,2021-09-01,623
544,2021-09-02,451
545,2021-09-03,475
546,2021-09-04,419
547,2021-09-05,450
548,2021-09-06,517
549,2021-09-07,436
550,2021-09-08,374
551,2021-09-09,414
552,2021-09-10,397
553,2021-09-11,297
554,2021-09-12,326
555,2021-09-13,393
556,2021-09-14,289
557,2021-09-15,311
558,2021-09-16,263
559,2021-09-17,377
560,2021-09-18,391
561,2021-09-19,342
562,2021-09-20,452
563,2021-09-21,260
564,2021-09-22,263
565,2021-09-23,241
566,2021-09-24,294
567,2021-09-25,269
568,2021-09-26,204
569,2021-09-27,243
570,2021-09-28,213
571,2021-09-29,213
572,2021-09-30,212
573,2021-10-01,226
574,2021-10-02,167
575,2021-10-03,145
576,2021-10-04,169
577,2021-10-05,183
578,2021-10-06,136
579,2021-10-07,117
580,2021-10-08,136
581,2021-10-09,139
582,2021-10-10,142
583,2021-10-11,125
584,2021-10-12,88
585,2021-10-13,109
586,2021-10-14,88
587,2021-10-15,116
588,2021-10-16,107
589,2021-10-17,88
590,2021-10-18,118
591,2021-10-19,88
592,2021-10-20,83
593,2021-10-21,59
594,2021-10-22,86
595,2021-10-23,51
596,2021-10-24,56
597,2021-10-25,77
598,2021-10-26,51
599,2021-10-27,40
600,2021-10-28,38
601,2021-10-29,49
602,2021-10-30,34
603,2021-10-31,46
604,2021-11-01,61
605,2021-11-02,36
606,2021-11-03,39
607,2021-11-04,39
608,2021-11-05,46
609,2021-11-06,49
610,2021-11-07,32
611,2021-11-08,59
612,2021-11-09,33
613,2021-11-10,32
614,2021-11-11,32
615,2021-11-12,39
616,2021-11-13,35
617,2021-11-14,32
618,2021-11-15,40
619,2021-11-16,23
620,2021-11-17,32
621,2021-11-18,31
622,2021-11-19,29
623,2021-11-20,42
624,2021-11-21,31
625,2021-11-22,25
626,2021-11-23,18
627,2021-11-24,15
628,2021-11-25,29
629,2021-11-26,23
630,2021-11-27,23
631,2021-11-28,34
632,2021-11-29,32
633,2021-11-30,33
634,2021-12-01,24
635,2021-12-02,24
636,2021-12-03,22
637,2021-12-04,20
638,2021-12-05,22
639,2021-12-06,27
640,2021-12-07,26
641,2021-12-08,27
642,2021-12-09,25
643,2021-12-10,21
644,2021-12-11,31
645,2021-12-12,20
646,2021-12-13,27
647,2021-12-14,23
648,2021-12-15,33
649,2021-12-16,24
650,2021-12-17,29
651,2021-12-18,41
652,2021-12-19,39
653,2021-12-20,74
654,2021-12-21,40
655,2021-12-22,52
656,2021-12-23,39
657,2021-12-24,61
658,2021-12-25,88
659,2021-12-26,114
660,2021-12-27,164
661,2021-12-28,141
662,2021-12-29,138
663,2021-12-30,155
664,2021-12-31,219
665,2022-01-01,370
666,2022-01-02,340
667,2022-01-03,465
668,2022-01-04,418
669,2022-01-05,485
670,2022-01-06,433
671,2022-01-07,516
672,2022-01-08,462
673,2022-01-09,493
674,2022-01-10,556
675,2022-01-11,287
676,2022-01-12,149
677,2022-01-13,33
